domain,company,kind,source
doorstop.net,Google,company,cncf-gitdm-single
dora-gt.jp,Dena,company,cncf-gitdm-single
dorseys.org,Google,company,cncf-gitdm-single
dotcloud.com,dotCloud,company,gitdm
dottodotdesign.co.uk,Dot to Dot Design,company,cncf-gitdm-single
doublebyte.net,GeoCat,company,cncf-gitdm-single
doublec.biz,Big Switch Networks,company,cncf-gitdm-single
doubledutch.me,DoubleDutch,company,cncf-gitdm-single
dougalmatthews.com,Red Hat,company,cncf-gitdm-single
dougtime.co,Squarespace,company,cncf-gitdm-single
douma.ca,RBC,company,cncf-gitdm-single
douyu.tv,Netroby,company,cncf-gitdm-single
downing.us,Apartment Therapy,company,cncf-gitdm-single
draios.com,Sysdig,company,cncf-gitdm-single
draveness.me,Spectra Trading,company,cncf-gitdm-single
dreamhost.com,DreamHost,company,gitdm
dreamit.de,dreamIT,company,cncf-gitdm-single
drinktomi.com,SavingGlobal,company,cncf-gitdm-single
dronedeploy.com,DroneDeploy,company,cncf-gitdm-single
dropbox.com,Dropbox,company,spinellis-sec
dscp.org,Meta Platforms,company,cncf-gitdm-single
dspeed.eu,Direkt SPEED,company,cncf-gitdm-single
dstanek.com,Rackspace,company,cncf-gitdm-single
dtdream.com,Dt Dream,company,gitdm
dti2.net,DTI2 - Desarrollo de la tecnologia de las comunicaciones,company,gitdm
dtosolutions.com,DTO Solutions,company,rich
dubture.com,ecosio,company,cncf-gitdm-single
duck.com,Bytedance,company,cncf-gitdm-single
duedil.com,Duedil,company,cncf-gitdm-single
duelance.app,Duelance,company,cncf-gitdm-single
duempel.org,Content Management,company,cncf-gitdm-single
dustbit.com,Red Hat,company,cncf-gitdm-single
dustymabe.com,Red Hat,company,cncf-gitdm-single
duti.dev,Skand,company,cncf-gitdm-single
dvdmuckle.xyz,Sonos,company,cncf-gitdm-single
dwango.co.jp,Dwango,company,cncf-gitdm-single
dxplore.eu,Nokia,company,cncf-gitdm-single
dylemma.io,Code Dx,company,cncf-gitdm-single
dymitruk.com,AdapTechSolutions,company,cncf-gitdm-single
dynamine.net,Amazon,company,cncf-gitdm-single
dynatrace.com,Dynatrace LLC,company,gitdm
dystopian.dev,Dualsight,company,cncf-gitdm-single
e-labworks.com,Embedded Labworks,company,cncf-gitdm-single
e-village.nl,E-Village,company,cncf-gitdm-single
e.email,Fyra Labs,company,cncf-gitdm-single
e0ne.info,Mirantis,company,cncf-gitdm-single
e10x.net,International Business Machines,company,cncf-gitdm-single
e2big.org,Newtec,company,cncf-gitdm-single
e2biz.cl,E2BIZ,company,cncf-gitdm-single
ea.com,ELECTRONIC ARTS,company,spinellis-sec
eagen.com,BI,company,cncf-gitdm-single
eamonbauman.com,SUSE,company,cncf-gitdm-single
earnest.com,Earnest Operations,company,cncf-gitdm
earthlink.net,Earthlink,company,gitdm
easoncao.com,Amazon,company,cncf-gitdm-single
easypost.com,EasyPost,company,cncf-gitdm-single
easyspeedy.com,Easyspeedy,company,cncf-gitdm-single
easystack.cn,EasyStack,company,gitdm
eayun.com,Eayun,company,gitdm
ebay.com,eBay,company,gitdm
ebaysf.com,eBay,company,gitdm
ebiken.dev,Dena,company,cncf-gitdm-single
ebsco.com,AWS,company,cncf-gitdm-single
ecc.no,Doximity,company,cncf-gitdm-single
echinopsii.net,International Business Machines,company,cncf-gitdm-single
ectoplasm.org,Mozilla,company,cncf-gitdm-single
edechamps.fr,Google,company,cncf-gitdm-single
edesix.com,Edesix Ltd,company,gitdm
edf.fr,Electricité de France,company,spinellis-sec
edia.nl,EDIA,company,cncf-gitdm-single
edmund-wagner.de,CBA Cross Border Associates Ltd. &,company,cncf-gitdm-single
eecs.berkeley.edu,Meta Platforms,company,cncf-gitdm-single
eero.com,Eero,company,cncf-gitdm-single
ef.gy,Magnus Deininger,company,cncf-gitdm-single
efficios.com,EfficiOS,company,cncf-gitdm-single
eficode.com,Eficode,company,cncf-gitdm-single
egauge.net,HP,company,cncf-gitdm-single
eggers-club.de,Axiros,company,cncf-gitdm-single
egil-hjelmeland.no,Zenitel,company,cncf-gitdm-single
eiabea.com,codecovevienna,company,cncf-gitdm-single
eilhard.net,Meplato,company,cncf-gitdm-single
einstruction.com,eInstruction,company,gitdm
eisoo.com,EISOO,company,gitdm
ekanayaka.io,Canonical,company,cncf-gitdm-single
eke.fi,EKE-Electronics,company,gitdm
ekino.com,Ekino,company,cncf-gitdm-single
elandigitalsystems.com,Elan Digital Systems,company,gitdm
elastic.co,Elastic,company,spinellis-sec
elastic.com,Elasticsearch,company,cncf-gitdm-single
elasticbox.com,ElasticBox,company,cncf-gitdm-single
elastisys.com,Elastisys,company,cncf-gitdm-single
elcolie.com,Amazon,company,cncf-gitdm-single
electromag.com.au,J.P. Morgan,company,cncf-gitdm-single
elementai.com,Element AI,company,cncf-gitdm-single
eletronica.org,Tribunal Regional do Trabalho da 7ª Região,company,cncf-gitdm-single
elettra.eu,Elettra,company,cncf-gitdm-single
elfgzp.cn,Tencent,company,cncf-gitdm-single
elidoran.com,Valley Supply,company,cncf-gitdm-single
ellerman.id.au,International Business Machines,company,cncf-gitdm-single
elliemae.com,ELLIE MAE,company,spinellis-sec
elliotgreenwood.co.uk,FundApps,company,cncf-gitdm-single
ellisbs.co.uk,Apple,company,cncf-gitdm-single
ellucian.com,Ellucian,company,gitdm
elpa.it,ELPA,company,gitdm
embedded.rocks,IT-Visions,company,cncf-gitdm-single
embeddedalley.com,Embedded Alley Solutions,company,gitdm
embrace.io,Embrace,company,cncf-gitdm
embrane.com,Embrane,company,gitdm
emc.com,Dell,company,gitdm
emcc.net.cn,hollysys,company,cncf-gitdm-single
emcraft.com,EmCraft Systems,company,gitdm
emenda.eu,Emenda,company,cncf-gitdm-single
emerton.info,Spire Systems,company,cncf-gitdm-single
eml.cc,Gravitational Inc “DBA” Teleport,company,cncf-gitdm-single
emmene-moi.fr,emmene-moi,company,cncf-gitdm-single
emmenlauer.de,BioSataAnalysis,company,cncf-gitdm-single
empal.com,Samsung SDS,company,cncf-gitdm-single
empire.ca,Empire Life,company,cncf-gitdm-single
empirix.com,Empirix,company,gitdm
employees.org,DreamWorks Animation,company,cncf-gitdm-single
emulex.com,Emulex,company,gitdm
emutex.com,Emutex,company,cncf-gitdm-single
enalean.com,Tuleap-Enalean,company,cncf-gitdm-single
endlessm.com,Endless Mobile,company,cncf-gitdm-single
endocode.com,Endocode,company,gitdm
endrelia.com,Endrelia,company,gitdm
endurancewindpower.com,Endurance Wind Power,company,gitdm
enea.com,ENEA AB,company,gitdm
eneticum.de,Eneticum,company,cncf-gitdm-single
engineyard.com,Microsoft,company,gitdm
enova.com,Enova International,company,spinellis-sec
enovance.com,Red Hat,company,gitdm
ens.fr,Meta Platforms,company,cncf-gitdm-single
ensta.org,Inria,company,cncf-gitdm-single
entpnt.com,Entry Point Networks,company,gitdm
envek.name,AT Consulting,company,cncf-gitdm-single
enzou.tokyo,Bulb Energy,company,cncf-gitdm-single
eoncloud.com.cn,Eon Cloud,company,cncf-gitdm-single
epages.com,ePages,company,cncf-gitdm-single
epam.com,EPAM Systems,company,gitdm
epcostello.com,PetBack,company,cncf-gitdm-single
epiphenie.com,Amazon,company,cncf-gitdm-single
equityzen.com,IPsoft,company,cncf-gitdm-single
eramux.com,Hotellistat,company,cncf-gitdm-single
erdfelt.com,Rackspace,company,cncf-gitdm-single
ericanderson.ca,Google,company,cncf-gitdm-single
ericsson.com,Ericsson,company,gitdm
ernestoalejo.me,AltiplaConsulting,company,cncf-gitdm-single
ernie.io,CareZone.com,company,cncf-gitdm-single
ertw.com,Northfield IT,company,cncf-gitdm-single
erwan.com,Red Hat,company,cncf-gitdm-single
es.ibm.com,International Business Machines,company,cncf-gitdm-single
esailors.de,eSailors,company,cncf-gitdm-single
escient.com,Escient,company,gitdm
esd-electronics.com,ESD Electronics,company,gitdm
esd.eu,ESD Electronics,company,gitdm
esendex.com,Google,company,cncf-gitdm-single
eseth.com,SaltStack,company,cncf-gitdm-single
esiee.org,LEXFO,company,cncf-gitdm-single
esobko.com,Rundeck,company,cncf-gitdm-single
esono.de,Esono,company,cncf-gitdm-single
espressif.com,Espressif,company,cncf-gitdm
espressive.com,Espressive,company,cncf-gitdm-single
esri.com,Esri Northeast Africa,company,cncf-gitdm
essensium.com,Essensium/Mind,consultancy,patch
est.fujitsu.com,Fujitsu,company,cncf-gitdm
est.tech,Ericsson,company,cncf-gitdm
estechnical.co.uk,ESImaging,company,cncf-gitdm-single
etc.tech,Ericsson,company,cncf-gitdm-single
etsy.com,ETSY,company,spinellis-sec
eukrea.com,Eukrea,company,cncf-gitdm-single
eurotech.com,Eurotech S.p.A.,company,cncf-gitdm-single
evansosenko.com,Meltwater News US,company,cncf-gitdm-single
eventbrite.com,Eventbrite,company,spinellis-sec
eveoh.nl,Eveoh,company,cncf-gitdm-single
evergreenitco.com,TEKsystems,company,cncf-gitdm-single
everis.com,everis,company,cncf-gitdm-single
everyleaf.com,Everyleaf,company,cncf-gitdm-single
everything.me,EverythingMe,company,rich
evilplan.org,Cube Technology IT Services,company,cncf-gitdm-single
evoila.de,evoila,company,gitdm
example.com,(Independent),free_provider,builtin
exaring.de,Cloudflare,company,cncf-gitdm-single
exati.com.br,Blacksmith-Labs,company,cncf-gitdm-single
excellent.io,Salesforce.com,company,cncf-gitdm-single
exmc02pt3pyfvh8.ad.bonniernews.se,Bonnier News Tech,company,cncf-gitdm-single
expandonline.nl,Expand Online,company,cncf-gitdm-single
expedia.com,Expedia,company,cncf-gitdm
expediagroup.com,Expedia,company,cncf-gitdm-single
experoinc.com,Expero,company,cncf-gitdm-single
expo.io,Braintree Payments,company,cncf-gitdm-single
express.com,EXPRESS,company,spinellis-sec
extensa.pl,Sauce Labs,company,cncf-gitdm-single
extraordy.com,Extraordy,company,cncf-gitdm-single
eyou.com,Credit Karma,company,cncf-gitdm-single
ez.no,eZ Systems,company,cncf-gitdm-single
f00f.org,AT&T Services,company,cncf-gitdm-single
f5.com,F5 NETWORKS,company,spinellis-sec
faascape.com,Xavier Vaucois,company,cncf-gitdm-single
faceair.me,GuanceCloud,company,cncf-gitdm-single
factuno.com,factuno,company,cncf-gitdm-single
fair.com,Fair Financial,company,cncf-gitdm-single
fairwaytech.com,Accenture,company,cncf-gitdm-single
falck.me,FortnoxAB,company,cncf-gitdm-single
falgout.us,Elegant,company,cncf-gitdm-single
famer.me,Nadileaf,company,cncf-gitdm-single
faraone.cc,Dropbox,company,cncf-gitdm-single
farberg.de,DHBW Stuttgart,company,cncf-gitdm-single
farfetch.com,Farfetch,company,cncf-gitdm-single
farmbio.uu.se,Rikagaku KenkyÅ«jo,company,cncf-gitdm-single
fashionmetric.com,Bold Metrics,company,cncf-gitdm-single
fastmail.com,(Independent),free_provider,builtin
fastmail.fm,FastMail.FM,company,gitdm
fastrobot.com,FastRobot,company,cncf-gitdm-single
fathomdb.com,FathomDB,company,gitdm
fb.com,Meta,company,patch
feit.me,Bytedance,company,cncf-gitdm-single
ferg.in,Virtustream,company,cncf-gitdm-single
fernandes.org,FICO,company,cncf-gitdm-single
ferrai.io,functional.pizza,company,cncf-gitdm-single
fesseler.info,Leomedia,company,cncf-gitdm-single
ffwll.ch,Intel,company,cncf-gitdm-single
fgribreau.com,iAdvize,company,cncf-gitdm-single
fhnw.ch,FHNW,company,cncf-gitdm-single
fiberhome.com,Fiberhome,company,gitdm
finn.no,FINN.no,company,cncf-gitdm-single-self-reference
fire.lp0.eu,Ingenico,company,cncf-gitdm-single
firemirror.com,Crowdmix,company,cncf-gitdm-single
firma.seznam.cz,Seznam.cz,company,gitdm
first8.nl,First8,company,cncf-gitdm-single
fit-tecnologia.org.br,FIT Instituto de Tecnologia,company,gitdm
fit2cloud.com,FIT2CLOUD,company,cncf-gitdm-single
fitbit.com,FITBIT,company,spinellis-sec
fivesevenfive.org,Google,company,cncf-gitdm-single
fivestars.com,Five Stars Loyalty,company,cncf-gitdm-single
fivetechno.de,Asseco Solutions,company,cncf-gitdm-single
fivetran.com,Fivetran,company,cncf-gitdm-single
fixate.io,Fixate IO,company,cncf-gitdm-single
fixstars.com,Fixstars Technologies,company,gitdm
flamingspork.com,International Business Machines,company,cncf-gitdm-single
flant.com,Flant JCS,company,cncf-gitdm
flbab.com,Happy Dog Web Productions,company,cncf-gitdm-single
fleeto.us,Huawei Technologies,company,cncf-gitdm-single
flixbus.com,FlixMobility,company,cncf-gitdm
flomesh.io,flomesh,company,cncf-gitdm-single
florat.net,Grand compte,company,cncf-gitdm-single
florath.net,flonatel,company,gitdm
flowerinthenight.com,Alphaus,company,cncf-gitdm-single
fluffypenguin.org,Piston Cloud,company,cncf-gitdm-single
fluxnic.net,Linaro,company,cncf-gitdm-single
flyclops.com,Flyclops,company,cncf-gitdm-single
fnal.gov,Fermilab,company,gitdm
fnordicwalking.de,AUTOMAG INDIA PVT,company,cncf-gitdm-single
fogarty.org,U.S. Bank,company,cncf-gitdm-single
folta.net,Yahoo!,company,cncf-gitdm-single
forecast.it,Forecast,company,cncf-gitdm-single
forgerock.com,ForgeRock,company,cncf-gitdm-single
forgue.io,Apple,company,cncf-gitdm-single
formidable.com,Meta Platforms,company,cncf-gitdm-single
forter.com,Forter,company,cncf-gitdm-single
fortinet.com,Fortinet,company,gitdm
forumd.net,Google,company,cncf-gitdm-single
foss.st.com,STMicroelectronics,company,patch
fostermoore.com,FosterMoore,company,cncf-gitdm-single
foxmail.com,(Independent),free_provider,builtin
fr.ibm.com,International Business Machines,company,cncf-gitdm-single
fraixed.es,iWazat,company,cncf-gitdm-single
francoposa.io,Grafana Labs,company,cncf-gitdm-single
frank-blechschmidt.com,Cisco Systems,company,cncf-gitdm-single
franklinamerican.com,FAMC,company,cncf-gitdm-single
fraunhofer.de,Fraunhofer,academic,patch
fredjean.net,Walt Disney Animation Studios,company,cncf-gitdm-single
free-electrons.com,Bootlin,consultancy,gitdm
freeformers.com,Freeformers,company,cncf-gitdm-single
freenet.de,Metabuild,company,cncf-gitdm-single
freescale.com,Freescale,company,gitdm
freevision.sk,freevision,company,cncf-gitdm-single
fregie.cn,transocks,company,cncf-gitdm-single
fremlin.org,Lyft,company,cncf-gitdm-single
freshdesk.com,Freshworks Technologies Pvt.,company,cncf-gitdm-single
freshworks.com,Freshworks Technologies Pvt.,company,cncf-gitdm-single
frhoelzlwimmer.de,GHGA,company,cncf-gitdm-single
fridlyand.com,EPAM Systems,company,cncf-gitdm-single
fridokoch.de,spot on news,company,cncf-gitdm-single
froe.io,Uber,company,cncf-gitdm-single
frontside.com,Frontside,company,cncf-gitdm-single
frozenice.de,frozenice,company,cncf-gitdm-single
frozenskys.co.uk,FrozenSkys,company,cncf-gitdm-single
fruntke.tech,SPIRIT/21,company,cncf-gitdm-single
fu-berlin.de,Microsoft,company,cncf-gitdm-single
fud.no,Redpill Linpro,company,cncf-gitdm-single
fudan.edu.cn,Tencent,company,cncf-gitdm-single
fuji.waseda.jp,International Business Machines,company,cncf-gitdm-single
fujitsu.com,Fujitsu,company,gitdm
fuks.co,campoint,company,cncf-gitdm-single
fundacionsadosky.org.ar,Fundación Sadosky,company,cncf-gitdm-single
fundebug.com,Fundebug,company,cncf-gitdm-single
funkemedien.de,FUNKE,company,cncf-gitdm-single
futurequest.net,Futurequest,company,cncf-gitdm-single
fuxu.name,YMT,company,cncf-gitdm-single
fxndev.com,Ville Hellman,company,cncf-gitdm-single
g10f.de,Volkswagen,company,cncf-gitdm-single
gaikai.com,Sony Interactive Entertainment,company,cncf-gitdm-single
gaisler.com,Gaisler Research,company,gitdm
galcho.com,Microsoft,company,cncf-gitdm-single
gamestop.com,GameStop,company,cncf-gitdm-single
gamlor.info,Turbo.net,company,cncf-gitdm-single
gandi.net,gandi.net,company,cncf-gitdm-single-self-reference
ganex.com.br,Ganex,company,cncf-gitdm-single
gangefors.com,Gangefors Programmering,company,cncf-gitdm-single
garant.ru,TOV ROMSAT,company,cncf-gitdm-single
garbagecollect.jp,Ruby on Rails,company,cncf-gitdm-single
garethwestern.com,Bouvet,company,cncf-gitdm-single
garmin.com,GARMIN,company,spinellis-sec
garrettmills.dev,AllofE,company,cncf-gitdm-single
gateworks.com,Gateworks,company,patch
gatling.io,Gatling,company,cncf-gitdm-single
gauner.org,JustWatch,company,cncf-gitdm-single
gdi2290.com,AngularClass,company,cncf-gitdm-single
gdplabs.id,Speaker Deck LLC.,company,cncf-gitdm-single
ge.com,General Electric,company,spinellis-sec
geanix.com,Geanix,consultancy,patch
gedex.web.id,Automattic,company,cncf-gitdm-single
geekplace.eu,Wölfel-Group,company,cncf-gitdm-single
geewax.org,Google,company,cncf-gitdm-single
gefanuc.com,GE Fanuc,company,gitdm
geishatokyo.com,Geisha Tokyo Entertainment,company,cncf-gitdm-single
geisler.net,Rackspace,company,cncf-gitdm-single
gelens.org,Noppo,company,cncf-gitdm-single
gelma.net,Argonet,company,cncf-gitdm-single
generalsoftwareinc.com,General Software,company,cncf-gitdm-single
genexus.com,GeneXus,company,cncf-gitdm-single
genkgo.nl,Genkgo,company,cncf-gitdm-single
gentechpartners.com,Genesis,company,cncf-gitdm-single
gentoo.org,Gentoo Linux,company,cncf-gitdm
geomatys.fr,Geomatys,company,gitdm
gerf.org,International Business Machines,company,cncf-gitdm-single
getbraintree.com,Braintree Payments,company,cncf-gitdm-single
getchef.com,Chef,company,gitdm
getfeedback.com,GetFeedback.com,company,cncf-gitdm-single-self-reference
gethelios.dev,Helios,company,cncf-gitdm
getpantheon.com,Pantheon Platform,company,cncf-gitdm-single
getshogun.com,Rails Girls,company,cncf-gitdm-single
gettaxi.com,Gett,company,cncf-gitdm-single
gewooniets.nl,Tweede golf,company,cncf-gitdm-single
ghiti.fr,Kalray,company,cncf-gitdm-single
ghostcloud.cn,Ghostcloud Chengdu Wizard Cloud Technology,company,cncf-gitdm
ghughes.com,Ghughes,company,cncf-gitdm-single
giansalex.dev,IMM,company,cncf-gitdm-single
giantswarm.io,Giant Swarm,company,cncf-gitdm
gibson.dropbear.id.au,Red Hat,company,cncf-gitdm-single
giffgaff.co.uk,giffgaff,company,cncf-gitdm-single
gigaspaces.com,GigaSpaces,company,gitdm
girao.net,Klarna,company,cncf-gitdm-single
gisjedi.com,AIS,company,cncf-gitdm-single
github.com,GitHub,company,cncf-gitdm
gitlab.com,GitLab,company,cncf-gitdm-single
gitter.im,Gitter,company,cncf-gitdm-single
gl-systemhaus.de,G&L Digital Media Engineering,company,cncf-gitdm-single
glenda9.org,Internet Initiative Japan,company,cncf-gitdm-single
globallogic.com,GlobalLogic,company,gitdm
gloops.com,Yoyo Holdings,company,cncf-gitdm-single
gluster.com,Red Hat,company,gitdm
gmail.com,(Independent),free_provider,rich
gmicloud.ai,GMI Cloud,company,cncf-gitdm-single
gmx.co.uk,GMX,company,cncf-gitdm-single
gmx.com,(Independent),free_provider,builtin
gmx.de,(Independent),free_provider,builtin
gmx.net,(Independent),free_provider,rich
gnomeontherun.com,VMware,company,cncf-gitdm-single
gnucoop.com,Gnucoop Soc. Coop,company,cncf-gitdm-single
gnumonks.org,sysmocom,company,cncf-gitdm-single
gnustavo.com,CPqD,company,cncf-gitdm-single
gocarrot.com,Teak,company,cncf-gitdm-single
godaddy.com,GoDaddy,company,gitdm
godatadriven.com,GoDataDriven,company,cncf-gitdm-single
gogotech.hk,GoGoVan,company,cncf-gitdm-single
gohighsec.com,GohighSec,company,gitdm
golang.org,Google,company,gitdm
goldelico.com,Golden Deli. Comp.,company,cncf-gitdm-single
goldhat.ca,Heroku,company,cncf-gitdm-single
gondor.apana.org.au,Red Hat,company,cncf-gitdm-single
gong.io,Gong,company,cncf-gitdm-single
gonicus.de,GONICUS,company,cncf-gitdm-single
gonzalezlopes.com,Grafana Labs,company,cncf-gitdm-single
goodow.com,Tencent Holdings,company,cncf-gitdm-single
google.com,Google,company,gitdm
googlemail.com,(Independent),free_provider,rich
gopivotal.com,Pivotal,company,gitdm
gopro.com,GoPro,company,spinellis-sec
gourlay.fr,Scania,company,cncf-gitdm-single
goyeau.com,Netflix,company,cncf-gitdm-single
goza.li,Mataharimall,company,cncf-gitdm-single
gplhost.com,GPLHost,company,gitdm
gpost.dk,Mediathand,company,cncf-gitdm-single
grabtaxi.com,Grab,company,cncf-gitdm-single
gradiant.org,GRADIANT,company,cncf-gitdm-single
grafana.com,Grafana Labs,company,cncf-gitdm
grahovac.me,VisualCV,company,cncf-gitdm-single
grantbourque.com,Anedot,company,cncf-gitdm-single
greenbtn.com,HP,company,cncf-gitdm-single
greenhills.co.uk,LucidWorks,company,cncf-gitdm-single
greenhouse.io,Greenhouse Software,company,cncf-gitdm
greenqloud.com,NetApp,company,cncf-gitdm-single
greenshoot.io,Red Hat,company,cncf-gitdm-single
gregsheremeta.com,Red Hat,company,cncf-gitdm-single
greyrook.com,Grey Rook,company,cncf-gitdm-single
grid.hust.edu.cn,"CDGCC, HUST",company,gitdm
gridcentric.ca,Gridcentric,company,gitdm
gridcentric.com,Gridcentric,company,gitdm
griddynamics.com,Grid Dynamics,company,gitdm
griddynamics.net,Grid Dynamics,company,gitdm
gridpoint.com,GridPoint,company,cncf-gitdm-single
gridworkz.com,Gridworkz,company,cncf-gitdm-single
grimberg.me,Mellanox,company,cncf-gitdm-single
grinn-global.com,Grinn,company,cncf-gitdm-single
grippers.co.uk,Microsoft,company,cncf-gitdm-single
grnet.gr,GRNET,company,gitdm
grofers.com,Grofers,company,cncf-gitdm-single
gronr.com,Maternity Neighborhood,company,cncf-gitdm-single
grosinger.net,Viskan,company,cncf-gitdm-single
groupon.com,Groupon,company,spinellis-sec
grovo.com,Grovo,company,cncf-gitdm-single
gruenhage.xyz,Famedly,company,cncf-gitdm-single
grupawp.pl,Wirtualna Polska,company,cncf-gitdm-single
gs.com,Goldman Sachs &,company,cncf-gitdm-single
gslab.com,Great Software Laboratory,company,gitdm
guardian.co.uk,The Guardian,company,gitdm
guerra.sh,Sysdig,company,cncf-gitdm-single
guerrag.com,Cloudflare,company,cncf-gitdm-single
guiform.com,VMware,company,cncf-gitdm-single
gum.pt,Lyft,company,cncf-gitdm-single
gvs.co.yu,GVS,company,gitdm
gwfischer.com,Echidna,company,cncf-gitdm-single
h2o.ai,H2o.ai,company,cncf-gitdm-single-self-reference
h3c.com,New H3C Technologies,company,cncf-gitdm
hackers.mu,hackers,company,cncf-gitdm-single
haddons.net,Canonical,company,cncf-gitdm-single
hagenlocher.org,Archant,company,cncf-gitdm-single
hai.li,Tencent,company,cncf-gitdm-single
haipq.com,Sun* Vietnam,company,cncf-gitdm-single
haktec.de,Tradebyte,company,cncf-gitdm-single
hale.at,HALE electronic,company,cncf-gitdm-single
halfrost.com,CNCF,company,cncf-gitdm-single
hamann.site,GlobalLogic,company,cncf-gitdm-single
hamistudios.com,Vivace Studio,company,cncf-gitdm-single
hammar.net,Antigo,company,cncf-gitdm-single
hamrah.com,Uber,company,cncf-gitdm-single
hanmail.net,Samsung SDS,company,cncf-gitdm-single
hans.io,Microsoft,company,cncf-gitdm-single
hanselman.com,Microsoft,company,cncf-gitdm-single
hansenpartnership.com,Hansen Partnership,company,gitdm
hanshq.net,Google,company,cncf-gitdm-single
happiestminds.com,Happiest Minds Technologies Pvt,company,cncf-gitdm-single
harbur.io,Harbur Cloud Solutions,company,cncf-gitdm-single
harmonicinc.com,Harmonic,company,gitdm
harmonycloud.cn,HarmonyCloud,company,gitdm
harris.com,Harris Corporation,company,gitdm
hartkopp.net,Fila,company,cncf-gitdm-single
hashicorp.com,HashiCorp,company,cncf-gitdm
hastexo.com,Hastexo,company,gitdm
hasura.io,Hasura,company,cncf-gitdm-single
hatetheinter.net,Yahoo!,company,cncf-gitdm-single
hauke-m.de,OpenWrt,company,cncf-gitdm-single
hauppauge.com,Hauppauge,company,gitdm
haxx.se,Haxx,company,cncf-gitdm-single
haze.cool,Daily,company,cncf-gitdm-single
hazelcast.com,Hazelcast,company,cncf-gitdm
hcl.com,HCL,company,gitdm
hds.com,Hitachi,company,gitdm
heathermeeker.com,Class,company,cncf-gitdm-single
heiber.im,ThoughtWorks,company,cncf-gitdm-single
helight.info,Tencent Holdings,company,cncf-gitdm-single
hello2morrow.com,HELLO 2MORROW,company,cncf-gitdm-single
helmutgranda.com,National Instruments,company,cncf-gitdm-single
helsedir.no,FINN.no,company,cncf-gitdm-single
helveticode.com,17LIVE,company,cncf-gitdm-single
heptio.com,VMware,company,cncf-gitdm-single
herbert.cc,Selbständig,company,cncf-gitdm-single
herbrand.de,Evosec,company,cncf-gitdm-single
here.com,2 Cranes & Sun,company,cncf-gitdm-single
herlein.com,Cisco Systems,company,cncf-gitdm-single
hermes-europe.co.uk,Aire Logic,company,cncf-gitdm-single
hermes-softlab.com,HERMES SoftLab,company,gitdm
heroku.com,Heroku,company,gitdm
herowk.com,Intuit,company,cncf-gitdm-single
hevery.com,Google,company,cncf-gitdm-single
hevs.ch,HES-SO Valais Wallis,company,gitdm
hexilee.me,PingCAP,company,cncf-gitdm-single
hey.com,Pienaar Consulting,company,cncf-gitdm-single
hfbank.com.cn,HFBank,company,gitdm
hh.ru,HeadHunter,company,cncf-gitdm-single
hidora.io,Hidora,company,cncf-gitdm-single
higanworks.com,HiganWorks,company,cncf-gitdm-single
highbridgellc.com,Rackspace,company,cncf-gitdm-single
highpoint-tech.com,HighPoint Technologies,company,gitdm
hihuron.com,Huron,company,gitdm
hint.io,Hint,company,cncf-gitdm-single
hiramchirino.com,Red Hat,company,cncf-gitdm-single
hisorange.me,The Home Depot,company,cncf-gitdm-single
hitachi.co.in,Hitachi,company,gitdm
hitachi.co.jp,Hitachi,company,gitdm
hitachi.com,Hitachi,company,gitdm
hitachisoft.jp,Hitachi,company,gitdm
hjfreyer.com,Google,company,cncf-gitdm-single
hmc.edu,Harvey Mudd College,academic,rich
hoblitt.com,LSST,company,cncf-gitdm-single
hobsons.com,CNCF,company,cncf-gitdm-single
hodduc.net,KAIST,company,cncf-gitdm-single
holisticon.de,Holisticon,company,cncf-gitdm-single
hollensbe.org,Docker,company,cncf-gitdm-single
homeaway.com,HomeAway.com,company,cncf-gitdm-self-reference
homedepot.com,HOME DEPOT,company,spinellis-sec
honeycomb.io,Hound Technology Inc. dba Honeycomb,company,cncf-gitdm
hoopla.net,Hoopla,company,cncf-gitdm-single
hooyberghs.org,Open-Future,company,cncf-gitdm-single
hopsandfork.com,appaloosa,company,cncf-gitdm-single
hortonworks.com,Hortonworks,company,gitdm
hotels.com,Hotels.com,company,cncf-gitdm-self-reference
hotmail.co.uk,(Independent),free_provider,builtin
hotmail.com,(Independent),free_provider,rich
hotmail.de,SAP,company,cncf-gitdm-single
hotmail.es,reflek.io,company,cncf-gitdm-single
hotmail.fr,Orange,company,cncf-gitdm-single
hotmail.it,BITROCK,company,cncf-gitdm-single
hoverbear.org,PingCAP,company,cncf-gitdm-single
hp.com,HP,company,gitdm
hpe.com,HP,company,gitdm
hqo.co,HqO,company,cncf-gitdm-single
hreniuc.dev,Quick Screen Trading/CVS,company,cncf-gitdm-single
hroncok.cz,Red Hat,company,cncf-gitdm-single
hsiang.io,Salesforce.com,company,cncf-gitdm-single
htc.com,HTC America,company,cncf-gitdm-single
huawei.com,Huawei Technologies,company,gitdm
hubspot.com,HUBSPOT,company,spinellis-sec
hugopozzoli.com,ZBJ Network,company,cncf-gitdm-single
hummel.yt,DFDS,company,cncf-gitdm-single
hunterloftis.com,Heroku,company,cncf-gitdm-single
hurleysoftware.com,Hurley,company,cncf-gitdm-single
husky.neu.edu,Slack Technologies,company,cncf-gitdm-single
husseinferas.com,Loveholidays,company,cncf-gitdm-single
hust.edu.cn,"CDGCC, HUST",company,gitdm
huweicai.com,BEIKE (Beijing) Technology,company,cncf-gitdm-single
