# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
retrofit	https://github.com/lysine-dev/retrofit.git	community	\.java$	S
hyperswitch	https://github.com/juspay/hyperswitch.git	community	\.rs$	S
cplusplusthings	https://github.com/Light-City/CPlusPlusThings.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
codebase-memory-mcp	https://github.com/DeusData/codebase-memory-mcp.git	community	\.[ch]$	S
fuels-rs	https://github.com/FuelLabs/fuels-rs.git	community	\.rs$	S
curl	https://github.com/curl/curl.git	community	\.[ch]$	M
agent-browser	https://github.com/vercel-labs/agent-browser.git	community	\.rs$	S
yazi	https://github.com/sxyazi/yazi.git	community	\.rs$	S
aria2	https://github.com/aria2/aria2.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
awesome-system-design-resources	https://github.com/ashishps1/awesome-system-design-resources.git	community	\.java$	S
duckdb	https://github.com/duckdb/duckdb.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
sunshine	https://github.com/LizardByte/Sunshine.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sniffnet	https://github.com/GyulyVGC/sniffnet.git	community	\.rs$	S
codewhale	https://github.com/Hmbown/Codewhale.git	community	\.rs$	S
faiss	https://github.com/facebookresearch/faiss.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
nushell	https://github.com/nushell/nushell.git	community	\.rs$	S
php-src	https://github.com/php/php-src.git	community	\.[ch]$	M
qbittorrent	https://github.com/qbittorrent/qBittorrent.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
halo	https://github.com/halo-dev/halo.git	community	\.java$	S
openhuman	https://github.com/tinyhumansai/openhuman.git	community	\.rs$	S
polars	https://github.com/pola-rs/polars.git	community	\.rs$	S
newpipe	https://github.com/TeamNewPipe/NewPipe.git	community	\.java$	S
zoxide	https://github.com/ajeetdsouza/zoxide.git	community	\.rs$	S
aseprite	https://github.com/aseprite/aseprite.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ruoyi-vue-pro	https://github.com/YunaiV/ruoyi-vue-pro.git	community	\.java$	S
dioxus	https://github.com/DioxusLabs/dioxus.git	community	\.rs$	S
spacedrive	https://github.com/spacedriveapp/spacedrive.git	community	\.rs$	S
lapce	https://github.com/lapce/lapce.git	community	\.rs$	S
hyprland	https://github.com/hyprwm/Hyprland.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
interview	https://github.com/huihut/interview.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
mpandroidchart	https://github.com/PhilJay/MPAndroidChart.git	community	\.java$	S
herdr	https://github.com/herdrdev/herdr.git	community	\.rs$	S
servo	https://github.com/servo/servo.git	community	\.rs$	M
rufus	https://github.com/pbatard/rufus.git	community	\.[ch]$	S
tutorials	https://github.com/eugenp/tutorials.git	community	\.java$	S
